| distrType         | samp1 | samp2 |  es | variance | mean(Method1) | mean(Method2) | pVal(Method1, Method2) | typeI | pVal(Method1, Method2)Uncorrected |   sig | sigUncorrected |
| normalGamma       |    30 |    30 | 0,8 |        1 |         0,832 |         0,897 |   1,94567185310293e-27 | FALSE |               6,7558050454963e-30 |  TRUE |          FALSE |
| normal            |    10 |    10 |   0 |        4 |         0,022 |         0,046 |   3,36966137771508e-09 |  TRUE |              1,17002131170662e-11 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 |   0 |        4 |         0,026 |         0,048 |   2,59829937168399e-08 |  TRUE |              9,02187281834718e-11 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 |   0 |        4 |         0,033 |         0,057 |   5,61327049761677e-09 |  TRUE |              1,94905225611693e-11 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 |   0 |        4 |         0,028 |         0,051 |   3,41174976672407e-08 |  TRUE |              1,18463533566808e-10 |  TRUE |          FALSE |
| normal            |    15 |    10 |   0 |        4 |         0,031 |         0,048 |   2,48720229290608e-05 |  TRUE |              8,63611907259057e-08 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 |   0 |        4 |         0,035 |         0,050 |   5,08855807350098e-05 |  TRUE |              1,76686044218784e-07 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 |   0 |        4 |         0,033 |         0,049 |   1,22440158957574e-05 |  TRUE |              4,25139440824911e-08 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 |   0 |        4 |         0,039 |         0,051 |     0,0137821938462067 |  TRUE |              4,78548397437734e-05 |  TRUE |          FALSE |
| normal            |    30 |    10 |   0 |        4 |         0,039 |         0,059 |   5,09097550552367e-07 |  TRUE |              1,76769982830683e-09 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 |   0 |        4 |         0,040 |         0,056 |   1,22440158957574e-05 |  TRUE |              4,25139440824911e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 |   0 |        4 |         0,038 |         0,050 |    0,00186113807494666 |  TRUE |              6,46228498245369e-06 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 |   0 |        4 |         0,041 |         0,052 |     0,0126778720636477 |  TRUE |               4,4020389109888e-05 |  TRUE |          FALSE |
| normal            |    10 |    15 |   0 |        4 |         0,029 |         0,044 |   3,43421765407203e-05 |  TRUE |              1,19243668544168e-07 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 |   0 |        4 |         0,037 |         0,057 |   1,96828706843091e-06 |  TRUE |              6,83433009871843e-09 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 |   0 |        4 |         0,027 |         0,045 |   2,35714077153885e-06 |  TRUE |              8,18451656784323e-09 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 |   0 |        4 |         0,036 |         0,047 |     0,0859084551769009 |  TRUE |              0,000298293247142017 |  TRUE |          FALSE |
| normal            |    15 |    15 |   0 |        4 |         0,034 |         0,050 |   0,000114015074859534 |  TRUE |              3,95885676595603e-07 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 |   0 |        4 |         0,032 |         0,044 |   0,000456957015537943 |  TRUE |              1,58665630395119e-06 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 |   0 |        4 |         0,040 |         0,052 |    0,00239718418538594 |  TRUE |              8,32355619925673e-06 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 |   0 |        4 |         0,046 |         0,053 |                      1 |  TRUE |                0,0176220909623244 |  TRUE |          FALSE |
| normal            |    30 |    15 |   0 |        4 |         0,047 |         0,056 |      0,395791452239529 |  TRUE |                0,0013742758758317 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 |   0 |        4 |         0,042 |         0,053 |     0,0109856960142137 |  TRUE |               3,8144777827131e-05 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 |   0 |        4 |         0,039 |         0,046 |                      1 |  TRUE |               0,00796348920654999 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 |   0 |        4 |         0,053 |         0,058 |                      1 |  TRUE |                 0,176296374440511 | FALSE |          FALSE |
| normal            |    10 |    30 |   0 |        4 |         0,035 |         0,048 |    0,00111156953383539 |  TRUE |              3,85961643692845e-06 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 |   0 |        4 |         0,036 |         0,053 |   1,09379879803513e-05 |  TRUE |              3,79791249317754e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    30 |   0 |        4 |         0,032 |         0,045 |   0,000161969983392362 |  TRUE |              5,62395775667923e-07 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 |   0 |        4 |         0,043 |         0,051 |                      1 |  TRUE |               0,00800994232988003 |  TRUE |          FALSE |
| normal            |    15 |    30 |   0 |        4 |         0,043 |         0,049 |                      1 |  TRUE |                0,0190164736723005 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 |   0 |        4 |         0,047 |         0,055 |                      1 |  TRUE |               0,00350928970474508 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 |   0 |        4 |         0,043 |         0,053 |     0,0246766982714221 |  TRUE |              8,56829801091046e-05 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 |   0 |        4 |         0,051 |         0,056 |                      1 |  TRUE |                  0,12726266362044 | FALSE |          FALSE |
| normal            |    30 |    30 |   0 |        4 |         0,045 |         0,049 |                      1 |  TRUE |                0,0388671038124172 |  TRUE |          FALSE |
| normalSkewed      |    30 |    30 |   0 |        4 |         0,048 |         0,055 |                      1 |  TRUE |               0,00511026066085587 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    30 |   0 |        4 |         0,038 |         0,044 |                      1 |  TRUE |               0,00554566731524405 |  TRUE |          FALSE |
| normalGamma       |    30 |    30 |   0 |        4 |         0,057 |         0,048 |                      1 |  TRUE |               0,00460653226339178 |  TRUE |          FALSE |
| normal            |    10 |    10 | 0,2 |        4 |         0,045 |         0,078 |   3,55582119379246e-13 | FALSE |              1,23466013673349e-15 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 | 0,2 |        4 |         0,044 |         0,077 |   3,55582119379246e-13 | FALSE |              1,23466013673349e-15 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 | 0,2 |        4 |         0,042 |         0,068 |   2,63469231772559e-10 | FALSE |              9,14823721432498e-13 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 | 0,2 |        4 |         0,034 |         0,057 |   1,43524200358039e-08 | FALSE |              4,98347917909857e-11 |  TRUE |          FALSE |
| normal            |    15 |    10 | 0,2 |        4 |         0,055 |         0,081 |   1,31828037210203e-08 | FALSE |              4,57736240313203e-11 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 | 0,2 |        4 |         0,048 |         0,074 |   4,38470007613893e-10 | FALSE |               1,5224653042149e-12 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 | 0,2 |        4 |         0,064 |         0,083 |   1,15790653724386e-05 | FALSE |              4,02050880987452e-08 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 | 0,2 |        4 |         0,043 |         0,065 |   2,59829937168399e-08 | FALSE |              9,02187281834718e-11 |  TRUE |          FALSE |
| normal            |    30 |    10 | 0,2 |        4 |         0,063 |         0,088 |   4,49920979011358e-09 | FALSE |              1,56222562156721e-11 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 | 0,2 |        4 |         0,049 |         0,067 |   1,56472919256275e-06 | FALSE |              5,43308747417623e-09 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 | 0,2 |        4 |         0,060 |         0,080 |   3,05586488580334e-07 | FALSE |              1,06106419645949e-09 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 | 0,2 |        4 |         0,038 |         0,063 |   3,11772645402444e-09 | FALSE |              1,08254390764737e-11 |  TRUE |          FALSE |
| normal            |    10 |    15 | 0,2 |        4 |         0,051 |         0,076 |   3,11772645402444e-09 | FALSE |              1,08254390764737e-11 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 | 0,2 |        4 |         0,044 |         0,076 |   4,23240636763903e-12 | FALSE |              1,46958554431911e-14 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 | 0,2 |        4 |         0,049 |         0,076 |   1,58341442545489e-10 | FALSE |              5,49796675505172e-13 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 | 0,2 |        4 |         0,039 |         0,073 |   5,00309458666517e-13 | FALSE |              1,73718562036985e-15 |  TRUE |          FALSE |
| normal            |    15 |    15 | 0,2 |        4 |         0,067 |         0,087 |   5,09097550552367e-07 | FALSE |              1,76769982830683e-09 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 | 0,2 |        4 |         0,059 |         0,080 |   4,29980114167776e-07 | FALSE |                1,492986507527E-09 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 | 0,2 |        4 |         0,066 |         0,078 |     0,0223840534905306 | FALSE |              7,77224079532312e-05 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 | 0,2 |        4 |         0,049 |         0,074 |   5,18559675503285e-09 | FALSE |              1,80055442883085e-11 |  TRUE |          FALSE |
| normal            |    30 |    15 | 0,2 |        4 |         0,079 |         0,093 |     0,0135163725286222 | FALSE |              4,69318490577158e-05 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 | 0,2 |        4 |         0,061 |         0,077 |   6,86320435124003e-05 | FALSE |              2,38305706640279e-07 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 | 0,2 |        4 |         0,093 |         0,102 |      0,239104923190528 | FALSE |              0,000830225427744888 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 | 0,2 |        4 |         0,062 |         0,082 |   1,00201675960027e-05 | FALSE |              3,47922485972317e-08 |  TRUE |          FALSE |
| normal            |    10 |    30 | 0,2 |        4 |         0,069 |         0,085 |   6,86320435124003e-05 | FALSE |              2,38305706640279e-07 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 | 0,2 |        4 |         0,060 |         0,084 |   1,43524200358039e-08 | FALSE |              4,98347917909857e-11 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    30 | 0,2 |        4 |         0,061 |         0,081 |   3,35767625100879e-07 | FALSE |              1,16585980937805e-09 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 | 0,2 |        4 |         0,046 |         0,079 |   1,53534069948876e-12 | FALSE |              5,33104409544709e-15 |  TRUE |          FALSE |
| normal            |    15 |    30 | 0,2 |        4 |         0,079 |         0,097 |   1,49739222428199e-05 | FALSE |               5,1992785565347e-08 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 | 0,2 |        4 |         0,072 |         0,090 |   9,01538322916831e-06 | FALSE |              3,13034139901678e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 | 0,2 |        4 |         0,075 |         0,086 |     0,0126778720636477 | FALSE |               4,4020389109888e-05 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 | 0,2 |        4 |         0,057 |         0,075 |   0,000838081391248217 | FALSE |              2,91000483072298e-06 |  TRUE |          FALSE |
| normal            |    30 |    30 | 0,2 |        4 |         0,110 |         0,120 |      0,322598846220791 | FALSE |               0,00112013488271108 |  TRUE |          FALSE |
| normalSkewed      |    30 |    30 | 0,2 |        4 |         0,104 |         0,115 |      0,133994349524462 | FALSE |               0,00046525815807105 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    30 | 0,2 |        4 |         0,106 |         0,113 |                      1 | FALSE |               0,00350928970474508 |  TRUE |          FALSE |
| normalGamma       |    30 |    30 | 0,2 |        4 |         0,071 |         0,096 |   1,60829107371225e-07 | FALSE |              5,58434400594532e-10 |  TRUE |          FALSE |
| normal            |    10 |    10 | 0,5 |        4 |         0,135 |         0,195 |   2,04905089307428e-24 | FALSE |              7,11476004539682e-27 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 | 0,5 |        4 |         0,102 |         0,171 |   9,47397111634632e-29 | FALSE |              3,28957330428692e-31 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 | 0,5 |        4 |         0,116 |         0,180 |   9,99605656222394e-26 | FALSE |              3,47085297299442e-28 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 | 0,5 |        4 |         0,096 |         0,152 |   7,43853527928481e-23 | FALSE |              2,58282474975167e-25 |  TRUE |          FALSE |
| normal            |    15 |    10 | 0,5 |        4 |         0,149 |         0,197 |   1,47862874508853e-18 | FALSE |              5,13412758711295e-21 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 | 0,5 |        4 |         0,146 |         0,208 |   6,62116316008842e-26 | FALSE |              2,29901498614181e-28 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 | 0,5 |        4 |         0,156 |         0,208 |   1,59128398564179e-21 | FALSE |              5,52529161681177e-24 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 | 0,5 |        4 |         0,137 |         0,205 |   1,78396602623395e-27 | FALSE |              6,19432647997901e-30 |  TRUE |          FALSE |
| normal            |    30 |    10 | 0,5 |        4 |         0,214 |         0,261 |   4,04483572249443e-18 | FALSE |              1,40445684808834e-20 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 | 0,5 |        4 |         0,213 |         0,264 |   1,77439154011794e-20 | FALSE |              6,16108173652062e-23 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 | 0,5 |        4 |         0,201 |         0,247 |   7,52211790506489e-18 | FALSE |               2,6118464948142e-20 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 | 0,5 |        4 |         0,165 |         0,241 |   4,97638782125497e-32 | FALSE |              1,72791243793575e-34 |  TRUE |          FALSE |
| normal            |    10 |    15 | 0,5 |        4 |         0,173 |         0,231 |   2,25673932089482e-24 | FALSE |              7,83590041977366e-27 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 | 0,5 |        4 |         0,151 |         0,214 |   9,99605656222394e-26 | FALSE |              3,47085297299442e-28 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 | 0,5 |        4 |         0,154 |         0,209 |   7,70538735833613e-23 | FALSE |              2,67548172164449e-25 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 | 0,5 |        4 |         0,144 |         0,214 |   1,26397229867499e-29 | FALSE |              4,38879270373261e-32 |  TRUE |          FALSE |
| normal            |    15 |    15 | 0,5 |        4 |         0,225 |         0,277 |   2,40855692907011e-19 | FALSE |              8,36304489260456e-22 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 | 0,5 |        4 |         0,211 |         0,267 |   1,90473819766226e-22 | FALSE |              6,61367429743841e-25 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 | 0,5 |        4 |         0,227 |         0,266 |   5,31046186875923e-15 | FALSE |              1,84391037109695e-17 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 | 0,5 |        4 |         0,173 |         0,241 |    1,0786257973222e-27 | FALSE |              3,74522846292432e-30 |  TRUE |          FALSE |
| normal            |    30 |    15 | 0,5 |        4 |         0,293 |         0,332 |    1,0650912406146e-13 | FALSE |              3,69823347435624e-16 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 | 0,5 |        4 |         0,275 |         0,325 |   1,78303554864465e-18 | FALSE |              6,19109565501614e-21 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 | 0,5 |        4 |         0,293 |         0,327 |   2,41787314539234e-11 | FALSE |              8,39539286594561e-14 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 | 0,5 |        4 |         0,261 |         0,330 |   9,20803591025641e-29 | FALSE |              3,19723469106125e-31 |  TRUE |          FALSE |
| normal            |    10 |    30 | 0,5 |        4 |         0,208 |         0,259 |   4,86173652809834e-20 | FALSE |              1,68810296114526e-22 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 | 0,5 |        4 |         0,210 |         0,268 |   9,90217310528276e-24 | FALSE |               3,4382545504454e-26 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    30 | 0,5 |        4 |         0,200 |         0,247 |   6,54157720648477e-19 | FALSE |              2,27138097447388e-21 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 | 0,5 |        4 |         0,141 |         0,213 |   4,87476098602713e-29 | FALSE |              1,69262534237053e-31 |  TRUE |          FALSE |
| normal            |    15 |    30 | 0,5 |        4 |         0,297 |         0,330 |   1,96218883565484e-09 | FALSE |              6,81315567935708e-12 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 | 0,5 |        4 |         0,276 |         0,322 |   4,54274958573137e-18 | FALSE |              1,57734360615673e-20 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 | 0,5 |        4 |         0,290 |         0,328 |   1,45773929861076e-14 | FALSE |              5,06159478684291e-17 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 | 0,5 |        4 |         0,245 |         0,328 |   3,02628853412572e-34 | FALSE |              1,05079462990476e-36 |  TRUE |          FALSE |
| normal            |    30 |    30 | 0,5 |        4 |         0,456 |         0,479 |    0,00012780470807504 | FALSE |              4,43766347482776e-07 |  TRUE |          FALSE |
| normalSkewed      |    30 |    30 | 0,5 |        4 |         0,429 |         0,471 |   2,41153516975125e-14 | FALSE |              8,37338600608073e-17 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    30 | 0,5 |        4 |         0,450 |         0,476 |   2,89697370898125e-07 | FALSE |              1,00589364895182e-09 |  TRUE |          FALSE |
| normalGamma       |    30 |    30 | 0,5 |        4 |         0,393 |         0,479 |   3,43352135418364e-36 | FALSE |               1,1921949146471e-38 |  TRUE |          FALSE |
| normal            |    10 |    10 | 0,8 |        4 |         0,303 |         0,392 |   1,68167003635674e-37 | FALSE |              5,83913207068314e-40 |  TRUE |          FALSE |
| normalSkewed      |    10 |    10 | 0,8 |        4 |         0,291 |         0,388 |   3,34236102369085e-41 | FALSE |              1,16054202211488e-43 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    10 | 0,8 |        4 |         0,284 |         0,384 |   2,70906267082049e-42 | FALSE |              9,40646760701558e-45 |  TRUE |          FALSE |
| normalGamma       |    10 |    10 | 0,8 |        4 |         0,267 |         0,385 |   3,79817654211288e-50 | FALSE |              1,31881129934475e-52 |  TRUE |          FALSE |
| normal            |    15 |    10 | 0,8 |        4 |         0,386 |         0,480 |   7,90492593763045e-39 | FALSE |              2,74476595056613e-41 |  TRUE |          FALSE |
| normalSkewed      |    15 |    10 | 0,8 |        4 |         0,372 |         0,453 |   2,26021711691631e-33 | FALSE |              7,84797610040386e-36 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    10 | 0,8 |        4 |         0,388 |         0,476 |   4,59601369627132e-37 | FALSE |               1,5958380889831e-39 |  TRUE |          FALSE |
| normalGamma       |    15 |    10 | 0,8 |        4 |         0,367 |         0,483 |   3,15068070768238e-48 | FALSE |              1,09398635683416e-50 |  TRUE |          FALSE |
| normal            |    30 |    10 | 0,8 |        4 |         0,454 |         0,515 |   2,02498613448844e-22 | FALSE |              7,03120185586263e-25 |  TRUE |          FALSE |
| normalSkewed      |    30 |    10 | 0,8 |        4 |         0,470 |         0,549 |   1,68845910028512e-32 | FALSE |              5,86270520932333e-35 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    10 | 0,8 |        4 |         0,449 |         0,527 |   4,01970659267924e-33 | FALSE |               1,3957314557914e-35 |  TRUE |          FALSE |
| normalGamma       |    30 |    10 | 0,8 |        4 |         0,461 |         0,562 |   5,99990089265318e-43 | FALSE |              2,08329892106013e-45 |  TRUE |          FALSE |
| normal            |    10 |    15 | 0,8 |        4 |         0,379 |         0,458 |   1,68845910028512e-32 | FALSE |              5,86270520932333e-35 |  TRUE |          FALSE |
| normalSkewed      |    10 |    15 | 0,8 |        4 |         0,359 |         0,450 |   3,72243235017217e-38 | FALSE |              1,29251123269867e-40 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    15 | 0,8 |        4 |         0,346 |         0,438 |   1,36222217736368e-38 | FALSE |               4,7299381158461e-41 |  TRUE |          FALSE |
| normalGamma       |    10 |    15 | 0,8 |        4 |         0,326 |         0,433 |   3,87407310792185e-45 | FALSE |              1,34516427358398e-47 |  TRUE |          FALSE |
| normal            |    15 |    15 | 0,8 |        4 |         0,501 |         0,562 |   7,51543853173801e-24 | FALSE |              2,60952726796459e-26 |  TRUE |          FALSE |
| normalSkewed      |    15 |    15 | 0,8 |        4 |         0,475 |         0,558 |   5,00277638241281e-34 | FALSE |              1,73707513278223e-36 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    15 | 0,8 |        4 |         0,482 |         0,551 |   9,47397111634632e-29 | FALSE |              3,28957330428692e-31 |  TRUE |          FALSE |
| normalGamma       |    15 |    15 | 0,8 |        4 |         0,451 |         0,546 |   6,67808593621013e-40 | FALSE |              2,31877983896185e-42 |  TRUE |          FALSE |
| normal            |    30 |    15 | 0,8 |        4 |         0,636 |         0,688 |   1,05977897166912e-17 | FALSE |              3,67978809607334e-20 |  TRUE |          FALSE |
| normalSkewed      |    30 |    15 | 0,8 |        4 |         0,648 |         0,700 |   4,37262599951675e-19 | FALSE |              1,51827291649887e-21 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    15 | 0,8 |        4 |         0,632 |         0,685 |   9,66085704873901e-21 | FALSE |              3,35446425303438e-23 |  TRUE |          FALSE |
| normalGamma       |    30 |    15 | 0,8 |        4 |         0,655 |         0,733 |   4,61529858771307e-32 | FALSE |              1,60253423184482e-34 |  TRUE |          FALSE |
| normal            |    10 |    30 | 0,8 |        4 |         0,487 |         0,552 |   1,95695167477705e-25 | FALSE |              6,79497109297585e-28 |  TRUE |          FALSE |
| normalSkewed      |    10 |    30 | 0,8 |        4 |         0,467 |         0,539 |   1,92770053378679e-29 | FALSE |              6,69340463120411e-32 |  TRUE |          FALSE |
| normalPlatykurtic |    10 |    30 | 0,8 |        4 |         0,462 |         0,541 |    4,2958225663052e-32 | FALSE |              1,49160505774486e-34 |  TRUE |          FALSE |
| normalGamma       |    10 |    30 | 0,8 |        4 |         0,382 |         0,503 |   1,13030852216597e-51 | FALSE |              3,92468236863185e-54 |  TRUE |          FALSE |
| normal            |    15 |    30 | 0,8 |        4 |         0,639 |         0,674 |   5,48124482208475e-11 | FALSE |              1,90321000766831e-13 |  TRUE |          FALSE |
| normalSkewed      |    15 |    30 | 0,8 |        4 |         0,636 |         0,696 |   4,10962844079423e-22 | FALSE |              1,42695431972022e-24 |  TRUE |          FALSE |
| normalPlatykurtic |    15 |    30 | 0,8 |        4 |         0,648 |         0,692 |   1,17218279155583e-16 | FALSE |              4,07007913734664e-19 |  TRUE |          FALSE |
| normalGamma       |    15 |    30 | 0,8 |        4 |         0,575 |         0,688 |    1,4929546737247e-47 | FALSE |              5,18387039487742e-50 |  TRUE |          FALSE |
| normal            |    30 |    30 | 0,8 |        4 |         0,848 |         0,868 |   0,000328967204752213 | FALSE |              1,14224723872296e-06 |  TRUE |          FALSE |
| normalSkewed      |    30 |    30 | 0,8 |        4 |         0,861 |         0,881 |   1,00201675960027e-05 | FALSE |              3,47922485972317e-08 |  TRUE |          FALSE |
| normalPlatykurtic |    30 |    30 | 0,8 |        4 |         0,838 |         0,859 |   2,58996657275435e-07 | FALSE |              8,99293948873039e-10 |  TRUE |          FALSE |
| normalGamma       |    30 |    30 | 0,8 |        4 |         0,826 |         0,887 |   3,00366911972287e-25 | FALSE |              1,04294066657044e-27 |  TRUE |          FALSE |
